question,answer,source_article
What is the primary classification criterion for a high-risk AI system under the EU AI Act?,An AI system is classified as high-risk if it is a safety component of a product covered by Annex I harmonization legislation OR if it falls within one of the specific use-case categories listed in Annex III of the EU AI Act.,EU AI Act – Article 6 (Classification rules for high-risk AI systems)
What must providers of high-risk AI systems establish and maintain throughout the system lifecycle?,Providers must establish implement document and maintain a risk management system that identifies analyzes estimates evaluates and mitigates known and reasonably foreseeable risks to health safety or fundamental rights.,EU AI Act – Article 9 (Risk management system)
What data quality requirements apply to training datasets used in high-risk AI systems?,Training validation and testing datasets must be subject to appropriate data governance practices be relevant sufficiently representative and to the best extent possible free of errors and complete with respect to the intended purpose.,EU AI Act – Article 10(2) (Data and data governance)
What must technical documentation for a high-risk AI system demonstrate before it is placed on the market?,Technical documentation must demonstrate that the high-risk AI system complies with all applicable requirements of the EU AI Act and must contain at minimum the elements set out in Annex IV.,EU AI Act – Article 11(1) (Technical documentation)
What are the transparency obligations for providers of high-risk AI systems under the EU AI Act?,High-risk AI systems must be sufficiently transparent to enable deployers to interpret outputs and use the system appropriately. Providers must supply instructions for use including capabilities limitations performance metrics and known risks.,EU AI Act – Article 13 (Transparency and provision of information to deployers)
What does the EU AI Act require regarding human oversight of high-risk AI systems?,High-risk AI systems must be designed so that natural persons can effectively oversee them during use including the ability to understand system capacities and limitations detect anomalies counter automation bias and intervene or deactivate the system.,EU AI Act – Article 14 (Human oversight)
What accuracy robustness and cybersecurity requirements apply to high-risk AI systems?,High-risk AI systems must achieve an appropriate level of accuracy robustness and cybersecurity and perform consistently in these respects throughout their lifecycle as stated in their technical documentation.,EU AI Act – Article 15 (Accuracy robustness and cybersecurity)
List four key obligations imposed on providers of high-risk AI systems.,Providers must: establish a quality management system; draw up technical documentation; ensure conformity assessment; and affix CE marking and register the system in the EU database before placing it on the market.,EU AI Act – Article 16 (Obligations of providers of high-risk AI systems)
What quality management system elements must providers of high-risk AI systems implement?,The quality management system must cover the AI strategy design and development process post-market monitoring corrective actions and management review ensuring ongoing compliance with the EU AI Act.,EU AI Act – Article 17 (Quality management system)
What post-market monitoring obligations do providers of high-risk AI systems have?,Providers must actively monitor high-risk AI systems after they are placed on the market and report serious incidents or malfunctions to market surveillance authorities and implement corrective action when systems no longer conform.,EU AI Act – Article 72 (Post-market monitoring by providers)
